Activities,,,,,,,,,
Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
3/10/18,"2,216","17,430",7.45,12,715,197,45,53,"1,132"
3/11/18,"2,134","16,110",6.84,40,577,137,70,47,"1,019"
3/12/18,"2,005","11,500",4.95,33,721,210,13,24,870
3/13/18,"1,862","9,864",4.17,29,705,116,36,30,678
3/14/18,"2,125","15,500",6.56,47,467,170,64,31,"1,001"
3/15/18,"2,398","15,514",6.56,41,692,315,44,26,"1,385"
3/16/18,"2,434","19,512",8.28,53,723,224,75,56,"1,390"
3/17/18,"2,226","14,520",7.3,41,553,209,18,55,"1,140"
3/18/18,"2,056","13,269",5.61,55,490,177,39,29,922
3/19/18,"2,309","19,002",9.2,68,617,199,34,64,"1,227"
3/20/18,"2,058","13,051",5.52,44,694,185,51,36,950
3/21/18,"2,185","15,685",7.28,54,694,179,21,61,"1,070"
3/22/18,"2,103","14,039",5.94,61,584,192,40,36,989
3/23/18,"2,048","11,173",4.73,32,728,233,24,19,943
3/24/18,"2,676","25,967",13.38,74,441,199,32,123,"1,656"
3/25/18,"2,516","21,959",9.29,150,461,250,42,84,"1,508"
3/26/18,"2,549","22,046",11.61,5,589,221,47,79,"1,510"
3/27/18,"2,285","16,241",6.91,34,679,308,39,26,"1,256"
3/28/18,"2,918","29,173",12.34,52,388,213,205,62,"2,011"
3/29/18,"2,622","25,004",10.58,88,461,297,91,42,"1,660"
3/30/18,"2,653","22,822",11.94,12,592,289,47,75,"1,661"
3/31/18,"2,711","25,368",11.06,75,482,298,93,64,"1,767"
4/1/18,"2,709","25,126",11.37,135,482,288,42,108,"1,753"
4/2/18,"2,038","13,538",5.73,45,688,160,52,31,899
4/3/18,"2,340","19,998",8.46,62,566,192,63,66,"1,275"
4/4/18,"2,058","12,497",5.29,41,659,197,40,27,939
4/5/18,"2,234","16,148",7.88,58,675,212,20,50,"1,131"
4/6/18,"2,063","11,241",4.76,21,662,264,24,24,988
4/7/18,"2,736","25,423",12.95,76,565,186,75,103,"1,709"
4/8/18,"2,825","28,116",14.24,104,645,241,54,106,"1,821"
4/9/18,"2,180","16,068",6.8,45,750,233,45,22,"1,092"
4/10/18,"2,810","28,526",14.55,81,561,192,56,133,"1,795"
4/11/18,"2,314","14,428",6.13,33,529,343,16,20,"1,301"
4/12/18,"1,930","10,277",4.35,34,721,165,26,25,764
4/13/18,"2,832","26,380",12.67,84,485,245,48,118,"1,850"
4/14/18,"3,282","35,207",17.23,139,576,284,108,128,"2,392"
4/15/18,"2,052","14,102",5.97,55,698,148,50,39,913
4/16/18,"2,196","14,846",6.28,51,591,221,35,38,"1,093"
4/17/18,"2,131","14,366",6.08,39,583,173,49,44,"1,012"
4/18/18,"2,304","18,895",9.24,64,624,193,34,63,"1,206"
4/19/18,"2,073","11,857",5.02,33,785,259,13,10,964
4/20/18,"2,424","20,562",8.7,56,564,268,71,41,"1,404"
4/21/18,"2,816","17,679",8.46,53,474,321,17,99,"1,869"
4/22/18,"2,324","18,744",8.19,50,668,222,47,52,"1,260"
4/23/18,"2,081","12,775",5.41,39,773,216,37,25,975
4/24/18,"2,237","18,418",7.79,40,603,152,94,47,"1,155"
4/25/18,"2,615","24,312",10.35,132,568,217,103,70,"1,619"
4/26/18,"2,481","19,283",9.25,70,"1,049",300,35,56,"1,478"
4/27/18,"2,455","19,726",8.35,58,566,294,69,38,"1,458"
4/28/18,"2,682","22,020",10.21,45,590,360,65,51,"1,754"
4/29/18,"2,694","27,561",16.32,66,554,117,14,147,"1,591"
4/30/18,"2,225","16,129",6.83,53,670,209,50,40,"1,139"
5/1/18,"2,724","28,198",12.83,70,545,181,116,102,"1,742"
5/2/18,"1,961","10,594",4.48,34,660,166,28,38,817
5/3/18,"2,230","16,620",7.62,46,651,195,28,63,"1,129"
5/4/18,"2,407","20,135",8.51,65,666,233,57,60,"1,367"
5/5/18,"4,683","38,975",17.14,124,528,191,41,64,"1,190"
5/6/18,"2,076","12,123",5.13,42,649,215,32,22,954
5/7/18,"2,240","16,450",7.27,60,714,196,41,52,"1,143"
5/8/18,"2,530","23,663",10.01,77,410,233,90,48,"1,513"
5/9/18,"2,206","17,366",7.35,78,692,163,55,61,"1,103"
5/10/18,"2,523","14,294",6.1,51,441,276,41,63,"1,509"
